ts,in_queue (size), in_queue (number)
1530634690.716370949,9084,6
1530634690.729005397,9084,6
1530634690.741692079,9084,6
1530634690.754500524,9084,6
1530634690.767301218,10664,7
1530634690.780064282,12178,7
1530634690.792890203,9150,5
1530634690.805618455,10664,5
1530634690.818653612,10598,4
1530634690.831577230,13626,5
1530634690.844361483,13626,5
1530634690.857061002,15140,6
1530634690.869885876,13626,6
1530634690.882825602,12112,5
1530634690.895759128,12112,5
1530634690.908500958,10598,5
1530634690.921343112,12112,6
1530634690.934218087,10598,6
1530634690.946963893,12112,7
1530634690.959736529,12112,8
1530634690.972491782,12112,8
1530634690.985119604,12112,8
1530634690.997843382,12112,8
1530634691.010644360,10598,7
1530634691.023422599,10598,7
1530634691.036304455,9084,6
1530634691.049030620,10598,6
1530634691.061946053,10598,6
1530634691.074723025,10598,6
1530634691.087489694,10598,6
1530634691.100212263,9084,5
1530634691.113051702,9084,5
1530634691.125721814,9084,5
1530634691.138696682,9084,5
1530634691.151478091,10598,6
1530634691.164140358,9084,6
1530634691.176913696,9084,6
1530634691.189534485,9084,6
1530634691.202386918,9084,6
1530634691.215122405,10598,7
1530634691.227877605,9084,6
1530634691.240598222,10598,6
1530634691.253233498,10598,5
1530634691.266088839,12112,5
1530634691.278886959,10598,4
1530634691.291722754,9084,3
1530634691.304519626,9084,3
1530634691.317206054,7570,3
1530634691.330170339,9084,4
1530634691.343134069,6056,3
1530634691.355815509,9084,5
1530634691.368735866,7570,5
1530634691.381443663,7570,5
1530634691.394122811,7570,5
1530634691.407017159,7570,5
1530634691.419741692,7570,5
1530634691.432475556,9084,6
1530634691.445457636,9084,6
1530634691.458243696,7570,5
1530634691.471034171,9150,6
1530634691.484022265,7636,5
1530634691.496754664,7636,5
1530634691.509437662,7570,4
1530634691.522271077,9084,5
1530634691.535061028,7570,5
1530634691.547961569,7570,5
1530634691.560860908,7570,5
1530634691.573583788,7570,5
1530634691.586277520,7570,5
1530634691.599339849,9084,6
1530634691.611966806,10598,6
1530634691.624866277,10598,6
1530634691.637486830,10598,6
1530634691.650242968,10598,6
1530634691.662963026,10598,6
1530634691.675795402,9084,5
1530634691.688533163,7570,4
1530634691.701207990,7570,4
1530634691.713993322,4542,3
1530634691.726872730,4542,3
1530634691.739825903,3028,2
1530634691.752512761,3028,2
1530634691.765309361,4542,3
1530634691.778068035,4542,3
1530634691.790862089,4542,3
1530634691.803535685,4542,3
1530634691.816489976,6056,3
1530634691.829086280,7570,3
1530634691.841753444,6056,2
1530634691.854518491,9084,3
1530634691.867335285,10598,4
1530634691.880041709,10598,4
1530634691.892795656,10598,4
1530634691.905589896,12112,5
1530634691.918280601,10598,5
1530634691.931189175,12112,6
1530634691.943913864,10598,6
1530634691.956663707,9084,6
1530634691.969474385,9084,6
1530634691.982306812,7570,5
1530634691.995159375,7570,5
1530634692.007817767,7570,5
1530634692.020646539,7570,5
1530634692.033309535,7570,5
1530634692.046069790,7570,5
1530634692.058809691,7570,5
1530634692.071500991,7570,5
1530634692.084388768,10664,7
1530634692.097135776,9150,6
1530634692.110030870,10664,6
1530634692.122875481,12112,5
1530634692.135569459,10598,4
1530634692.148379558,10640,5
1530634692.161180219,7612,4
1530634692.174070795,9126,5
1530634692.186927902,6098,4
1530634692.199852449,7570,4
1530634692.212559559,6056,4
1530634692.225382979,6056,4
1530634692.238062853,6056,4
1530634692.250946049,6056,4
1530634692.263741971,6056,4
1530634692.276381657,6056,4
1530634692.289154048,6056,4
1530634692.301898761,6056,4
1530634692.314678137,6056,4
1530634692.327511313,6056,4
1530634692.340509751,6056,4
1530634692.353282215,6056,4
1530634692.366042941,9084,5
1530634692.378996482,7570,4
1530634692.391799985,7570,4
1530634692.404562034,6056,3
1530634692.417361360,4542,3
1530634692.430222098,4542,3
1530634692.443201855,4542,3
1530634692.455826460,4542,3
1530634692.468506405,6056,3
1530634692.481307546,7570,3
1530634692.494154335,7570,3
1530634692.507050458,10598,4
1530634692.519940485,10598,4
1530634692.532616739,10598,4
1530634692.545265385,10598,4
1530634692.558125752,12112,4
1530634692.570795524,15140,5
1530634692.583496520,15140,5
1530634692.596366877,15140,5
1530634692.609091638,12112,4
1530634692.621985304,12112,4
1530634692.634805049,12112,4
1530634692.647622655,12112,4
1530634692.660530928,12112,4
1530634692.673332739,12112,4
1530634692.686162978,15140,5
1530634692.699013644,12112,4
1530634692.711782318,12112,4
1530634692.724616261,12112,4
1530634692.737535517,15140,5
1530634692.750261595,15140,5
1530634692.763103886,18168,6
1530634692.775791183,15140,5
1530634692.788512912,15140,5
1530634692.801190453,15140,5
1530634692.813971570,18168,7
1530634692.826725563,15140,6
1530634692.839586791,15140,6
1530634692.852412747,15206,7
1530634692.865174189,18234,8
1530634692.878124115,15206,7
1530634692.891002903,15206,7
1530634692.903905860,15206,7
1530634692.916803337,15206,7
1530634692.929654474,12178,6
1530634692.942512878,13692,6
1530634692.955414690,16720,7
1530634692.968045263,16654,6
1530634692.980764109,16654,6
1530634692.993668821,16654,6
1530634693.006448055,16654,6
1530634693.019417118,16654,6
1530634693.032027541,15140,5
1530634693.044987171,15140,5
1530634693.057665879,15140,5
1530634693.070463382,15140,5
1530634693.083250267,15140,5
1530634693.095959576,15140,5
1530634693.108693914,15140,5
1530634693.121316593,15140,5
1530634693.134189515,15140,5
1530634693.146853164,12112,4
1530634693.159545924,15140,5
1530634693.172191976,15140,5
1530634693.185056464,15140,5
1530634693.197739281,12112,4
1530634693.210514164,15140,5
1530634693.223283180,15140,5
1530634693.235967127,15140,5
1530634693.248700898,15140,5
1530634693.261560580,18168,6
1530634693.274315203,18168,6
1530634693.287216364,18168,6
1530634693.300087393,15140,5
1530634693.312985944,15140,5
1530634693.325735395,15140,5
1530634693.338558305,12112,4
1530634693.351521041,12112,4
1530634693.364138294,10598,4
1530634693.376915681,12112,5
1530634693.389765686,9084,4
1530634693.402448692,12112,5
1530634693.415220158,9084,4
1530634693.427814085,9084,4
1530634693.440586765,7570,4
1530634693.453347187,7570,4
1530634693.466032747,7570,4
