ts,rto,rtt,rttvar,mss,pmtu,rcvmss,advmss,cwnd,bytes_acked,segs_out,segs_in,data_segs_out,bbr_bw,bbr_min_rtt,bbr_pacing_gain,bbr_cwnd_gain,send,pacing_rate,delivery_rate
1529689743.014790800,224,22.668,0.155,1448,1500,536,1448,372,16342166,11479,1266,11477,98.5e6,20.105,1.25,2,190.1e6,127.5e6,93.8e6,1472ms
1529689743.026039022,224,22.649,0.14,1448,1500,536,1448,372,16486966,11569,1277,11567,98.5e6,20.105,1.25,2,190.3e6,127.5e6,95.6e6,1484ms
1529689743.037229878,224,22.654,0.165,1448,1500,536,1448,372,16617286,11664,1287,11662,98.5e6,20.105,1.25,2,190.2e6,127.5e6,95.7e6,1496ms
1529689743.048675104,224,22.696,0.188,1448,1500,536,1448,372,16747606,11754,1297,11752,98.5e6,20.105,1.25,2,189.9e6,127.5e6,95.4e6,1504ms
1529689743.059985841,224,22.646,0.149,1448,1500,536,1448,372,16885166,11854,1308,11852,98.5e6,20.105,1.25,2,190.3e6,127.5e6,93.1e6,1516ms
1529689743.071371401,224,22.651,0.128,1448,1500,536,1448,372,17029966,11944,1319,11942,98.5e6,20.105,1.25,2,190.2e6,127.5e6,95.9e6,1528ms
1529689743.082583330,224,22.638,0.115,1448,1500,536,1448,372,17160286,12044,1329,12042,98.5e6,20.105,1.25,2,190.4e6,127.5e6,95.6e6,1540ms
1529689743.093955171,224,22.648,0.118,1448,1500,536,1448,372,17290606,12134,1339,12132,98.5e6,20.105,1.25,2,190.3e6,127.5e6,95.5e6,1552ms
1529689743.105154501,224,22.65,0.12,1448,1500,536,1448,372,17420926,12224,1349,12222,98.5e6,20.105,1.25,2,190.3e6,127.5e6,95.8e6,1564ms
1529689743.116272832,224,22.685,0.177,1448,1500,536,1448,372,17565726,12314,1360,12312,98.5e6,20.105,1.25,2,190.0e6,127.5e6,95.5e6,1572ms
1529689743.127652990,224,22.709,0.197,1448,1500,536,1448,372,17696046,12414,1370,12412,98.5e6,20.105,1.25,2,189.8e6,127.5e6,95.4e6,1584ms
1529689743.138891791,224,22.701,0.167,1448,1500,536,1448,372,17826366,12504,1380,12502,98.5e6,20.105,1.25,2,189.8e6,127.5e6,95.8e6,1596ms
1529689743.149981817,224,22.679,0.168,1448,1500,536,1448,372,17956686,12594,1391,12592,98.5e6,20.105,1.25,2,190.0e6,127.5e6,95.6e6,1608ms
1529689743.161303558,224,22.68,0.162,1448,1500,536,1448,372,18101486,12684,1402,12682,98.5e6,20.105,1.25,2,190.0e6,127.5e6,93.8e6,1620ms
1529689743.172707318,224,22.675,0.167,1448,1500,536,1448,372,18231806,12784,1412,12782,98.5e6,20.105,1.25,2,190.0e6,127.5e6,94.0e6,1628ms
1529689743.183934966,224,22.659,0.173,1448,1500,536,1448,372,18362126,12874,1422,12872,98.5e6,20.105,1.25,2,190.2e6,127.5e6,93.8e6,1640ms
1529689743.196283012,224,22.64,0.168,1448,1500,536,1448,370,18514166,12979,1435,12977,97.9e6,20.105,1.25,2,189.3e6,126.8e6,93.1e6,1652ms
1529689743.208128195,224,22.635,0.088,1448,1500,536,1448,370,18658966,13079,1446,13077,97.9e6,20.105,1.25,2,189.4e6,126.8e6,96.1e6,1664ms
1529689743.219958510,224,22.684,0.138,1448,1500,536,1448,370,18803766,13169,1458,13167,97.9e6,20.105,1.25,2,188.9e6,126.8e6,96.0e6,1676ms
1529689743.231868607,224,22.676,0.158,1448,1500,536,1448,370,18934086,13269,1468,13267,97.9e6,20.105,1.25,2,189.0e6,126.8e6,95.8e6,1688ms
1529689743.243860228,224,22.657,0.154,1448,1500,536,1448,370,19078886,13369,1480,13367,97.9e6,20.105,1.25,2,189.2e6,126.8e6,93.8e6,1700ms
1529689743.255698211,224,22.652,0.158,1448,1500,536,1448,370,19223686,13464,1492,13462,97.9e6,20.105,1.25,2,189.2e6,126.8e6,95.6e6,1712ms
1529689743.267106823,224,22.639,0.143,1448,1500,536,1448,370,19361246,13564,1503,13562,97.9e6,20.105,1.25,2,189.3e6,126.8e6,93.2e6,1724ms
1529689743.278556379,224,22.644,0.105,1448,1500,536,1448,370,19506046,13664,1514,13662,97.9e6,20.105,1.25,2,189.3e6,126.8e6,95.6e6,1736ms
1529689743.290182808,224,22.64,0.139,1448,1500,536,1448,370,19636366,13754,1524,13752,97.9e6,20.105,1.25,2,189.3e6,126.8e6,95.7e6,1748ms
1529689743.301535241,224,22.66,0.17,1448,1500,536,1448,370,19781166,13844,1535,13842,97.9e6,20.105,1.25,2,189.1e6,126.8e6,95.9e6,1760ms
1529689743.313088359,224,22.691,0.164,1448,1500,536,1448,370,19911486,13944,1546,13942,97.9e6,20.105,1.25,2,188.9e6,126.8e6,95.9e6,1768ms
1529689743.324763292,224,22.669,0.167,1448,1500,536,1448,370,20056286,14034,1557,14032,97.9e6,20.105,1.25,2,189.1e6,126.8e6,93.9e6,1780ms
1529689743.336217666,224,22.669,0.166,1448,1500,536,1448,370,20186606,14134,1567,14132,97.9e6,20.105,1.25,2,189.1e6,126.8e6,93.9e6,1792ms
1529689743.347882635,224,22.651,0.144,1448,1500,536,1448,370,20331406,14224,1578,14222,97.9e6,20.105,1.25,2,189.2e6,126.8e6,95.5e6,1804ms
1529689743.359902020,224,22.623,0.153,1448,1500,536,1448,370,20468966,14329,1589,14327,97.4e6,20.105,1.25,2,189.5e6,126.1e6,93.1e6,1816ms
