ts,backlog in bytes, backlog in packets
1529798311.017970745,0b,0p
1529798311.030571573,66b,1p
1529798311.043039576,0b,0p
1529798311.055760902,66b,1p
1529798311.068040801,66b,1p
1529798311.080567492,0b,0p
1529798311.093104034,132b,2p
1529798311.105681658,0b,0p
1529798311.118171866,660b,10p
1529798311.130652090,594b,9p
1529798311.143158228,594b,9p
1529798311.155831246,594b,9p
1529798311.168339964,594b,9p
1529798311.180814525,594b,9p
1529798311.193207284,528b,8p
1529798311.205798939,594b,9p
1529798311.218474841,726b,11p
1529798311.230913774,594b,9p
1529798311.243639097,594b,9p
1529798311.256104379,594b,9p
1529798311.268623760,660b,10p
1529798311.281012304,594b,9p
1529798311.293535514,660b,10p
1529798311.306008386,594b,9p
1529798311.318527521,594b,9p
1529798311.331068527,594b,9p
1529798311.343579895,660b,10p
1529798311.356091443,594b,9p
1529798311.368705811,660b,10p
1529798311.381102151,594b,9p
1529798311.393799127,594b,9p
1529798311.406387431,594b,9p
1529798311.419047645,660b,10p
1529798311.431612395,594b,9p
1529798311.444143678,528b,8p
1529798311.456695851,594b,9p
1529798311.469267383,660b,10p
1529798311.481800231,594b,9p
1529798311.494460620,594b,9p
1529798311.507148969,660b,10p
1529798311.519646024,660b,10p
1529798311.532139140,660b,10p
1529798311.544686663,594b,9p
1529798311.557190665,594b,9p
1529798311.582836095,594b,9p
1529798311.595353214,594b,9p
1529798311.608003042,594b,9p
1529798311.620577829,660b,10p
1529798311.633137109,594b,9p
1529798311.645662191,528b,8p
1529798311.658075884,594b,9p
1529798311.670788406,660b,10p
1529798311.683396446,594b,9p
1529798311.695857133,594b,9p
1529798311.708473433,594b,9p
1529798311.720914614,660b,10p
1529798311.733455539,594b,9p
1529798311.745889686,660b,10p
1529798311.758383682,594b,9p
1529798311.770881212,594b,9p
1529798311.783426554,594b,9p
1529798311.796109106,660b,10p
1529798311.808493906,594b,9p
1529798311.821009692,660b,10p
1529798311.833418831,594b,9p
1529798311.845891077,594b,9p
1529798311.858466948,594b,9p
1529798311.870998675,594b,9p
1529798311.883537949,594b,9p
1529798311.896181362,594b,9p
1529798311.908645699,594b,9p
1529798311.921274973,594b,9p
1529798311.933845497,594b,9p
1529798311.946569243,594b,9p
1529798311.959143104,594b,9p
1529798311.971667897,594b,9p
1529798311.984145316,594b,9p
1529798311.996671724,660b,10p
1529798312.009213154,594b,9p
1529798312.021835327,528b,8p
1529798312.034486699,594b,9p
1529798312.047022513,660b,10p
1529798312.059525365,594b,9p
1529798312.072016513,594b,9p
1529798312.084616681,594b,9p
1529798312.097189247,660b,10p
1529798312.109802956,660b,10p
1529798312.122350930,594b,9p
1529798312.135022013,594b,9p
1529798312.147738033,594b,9p
1529798312.160193255,660b,10p
1529798312.172808896,594b,9p
1529798312.185212276,594b,9p
1529798312.197739630,660b,10p
1529798312.210318600,660b,10p
1529798312.222780988,594b,9p
1529798312.235393596,594b,9p
1529798312.248065737,594b,9p
1529798312.260635166,660b,10p
1529798312.273201528,594b,9p
1529798312.285829671,594b,9p
1529798312.298354715,594b,9p
1529798312.311006236,594b,9p
1529798312.323707901,660b,10p
1529798312.336139740,660b,10p
1529798312.348643572,528b,8p
1529798312.361239032,594b,9p
1529798312.373816611,660b,10p
1529798312.386532765,660b,10p
1529798312.399054901,594b,9p
1529798312.411528722,594b,9p
1529798312.424087118,660b,10p
1529798312.436621962,594b,9p
1529798312.449222215,594b,9p
1529798312.461775666,594b,9p
1529798312.474318664,594b,9p
