ts,in_queue (size), in_queue (number)
1530632202.585935339,13626,9
1530632202.598660601,13626,9
1530632202.611434636,13626,9
1530632202.624079885,13626,9
1530632202.636658670,13626,9
1530632202.649211162,13626,9
1530632202.661935343,13626,9
1530632202.674508345,13626,9
1530632202.687346164,15140,9
1530632202.699970490,16654,9
1530632202.712851772,15140,8
1530632202.725640261,16654,8
1530632202.738306722,15140,7
1530632202.751255163,13626,6
1530632202.764015625,13626,6
1530632202.776836920,13626,6
1530632202.789477240,13626,6
1530632202.802242054,15140,7
1530632202.814989110,13626,7
1530632202.827938668,12112,7
1530632202.840547483,13626,8
1530632202.853305997,12112,8
1530632202.866162358,12112,8
1530632202.879149265,13626,9
1530632202.891878881,13626,9
1530632202.904663112,13626,9
1530632202.917498969,13626,9
1530632202.930285012,13626,9
1530632202.943019683,13626,9
1530632202.955794451,13626,9
1530632202.968578687,13626,9
1530632202.981406353,13626,9
1530632202.994173653,13626,9
1530632203.006897681,13626,9
1530632203.019680211,13626,9
1530632203.032475213,13626,9
1530632203.045296503,13626,9
1530632203.058037894,12112,8
1530632203.070884361,13626,8
1530632203.083620513,15140,8
1530632203.096325610,13626,7
1530632203.109207710,13626,7
1530632203.121896803,12112,6
1530632203.134724363,12112,6
1530632203.147495157,12112,6
1530632203.160198288,12112,6
1530632203.172973205,15140,8
1530632203.185645792,13626,8
1530632203.198593131,15140,9
1530632203.211333829,13626,9
1530632203.224023111,13626,9
1530632203.236773269,13626,9
1530632203.249467800,13626,9
1530632203.262245704,13626,9
1530632203.275023150,13626,9
1530632203.287724879,12112,8
1530632203.300592947,12112,8
1530632203.313220496,12112,8
1530632203.325913130,13626,9
1530632203.338714262,13626,9
1530632203.351623609,12112,8
1530632203.364288356,12112,8
1530632203.377028429,12112,8
1530632203.389759999,12112,8
1530632203.402531976,13626,9
1530632203.415385769,15140,9
1530632203.428292049,13626,8
1530632203.441131247,15140,8
1530632203.453961640,13626,7
1530632203.466641993,13626,7
1530632203.479495922,13626,7
1530632203.492460199,13626,7
1530632203.505332993,13626,7
1530632203.518150990,13626,7
1530632203.531070039,12112,7
1530632203.543816023,13626,8
1530632203.556732732,12112,8
1530632203.569688660,12112,8
1530632203.582412594,12112,8
1530632203.595229545,12112,8
1530632203.608090384,13626,9
1530632203.620813987,13626,9
1530632203.633483808,13626,9
1530632203.646306656,13626,9
1530632203.659107526,13626,9
1530632203.671870388,13626,9
1530632203.684596223,13626,9
1530632203.697389043,13626,9
1530632203.710328397,13626,9
1530632203.723380096,13626,9
1530632203.736152872,12112,8
1530632203.748962644,13626,9
1530632203.761861755,15140,9
1530632203.774744590,13626,8
1530632203.787666167,15140,8
1530632203.800291275,16654,8
1530632203.813035770,15140,7
1530632203.825772122,13626,6
1530632203.838800816,13626,6
1530632203.851717738,12112,5
1530632203.864609012,12112,5
1530632203.877412976,13626,6
1530632203.890176244,12112,6
1530632203.903155908,15140,8
1530632203.915798772,13626,8
1530632203.928551227,15140,9
1530632203.941217895,13626,9
1530632203.953858195,12112,8
1530632203.966672738,12112,8
1530632203.979487005,12112,8
1530632203.992267689,12112,8
1530632204.004981493,12112,8
1530632204.017758078,13626,9
1530632204.030562592,12112,8
1530632204.043311140,12112,8
1530632204.056010570,12112,8
1530632204.068896026,12112,8
1530632204.081517276,12112,8
1530632204.094547182,13626,9
1530632204.107317506,13626,9
1530632204.120172259,13626,9
1530632204.133038793,13626,9
1530632204.145690445,15140,9
1530632204.158519555,13626,8
1530632204.171414955,15140,8
1530632204.184265170,15140,7
1530632204.196939403,15140,7
1530632204.209644955,13626,6
1530632204.222454995,13626,6
1530632204.235381040,13626,6
1530632204.248008708,15140,7
1530632204.260738639,13626,7
1530632204.273459121,15140,8
1530632204.286455401,13626,8
1530632204.299176785,15140,9
1530632204.311794451,12112,8
1530632204.324557718,13626,9
1530632204.337561386,13626,9
1530632204.350314150,13626,9
1530632204.363104891,13626,9
1530632204.375957828,13626,9
1530632204.388719329,13626,9
1530632204.401461426,13626,9
1530632204.414180353,12112,8
1530632204.427069632,12112,8
1530632204.439854353,12112,8
1530632204.452483468,12112,8
1530632204.465121649,12112,8
1530632204.477993853,12112,8
1530632204.490921931,12112,8
1530632204.503698567,13626,9
1530632204.516480797,12112,8
1530632204.529141994,13626,8
1530632204.542054401,15140,8
1530632204.554827780,16654,8
1530632204.567506214,15140,7
1530632204.580283021,13626,6
1530632204.593221547,13626,6
1530632204.605889632,13626,6
1530632204.618637166,12112,5
1530632204.631529890,15140,7
1530632204.644148459,13626,7
1530632204.657019877,12112,7
1530632204.669692166,13626,8
1530632204.682378537,12112,8
1530632204.695153818,12112,8
1530632204.707819304,12112,8
1530632204.720521041,13626,9
1530632204.733213636,12112,8
1530632204.746020151,12112,8
1530632204.758967724,12112,8
1530632204.771740084,12112,8
1530632204.784536853,13626,9
1530632204.797227094,13626,9
1530632204.810093707,13626,9
1530632204.823099242,12112,8
1530632204.835906154,13626,9
1530632204.848623978,13626,9
1530632204.861276877,13626,9
1530632204.874112789,15140,9
1530632204.887064841,15140,8
1530632204.899842671,13626,7
1530632204.912653241,15140,7
1530632204.925454713,15140,7
1530632204.938503759,13626,6
1530632204.951346331,13626,6
1530632204.963937853,13626,6
1530632204.976660527,13626,6
1530632204.989427388,12112,6
1530632205.002265940,13626,7
1530632205.015168335,12112,7
1530632205.027858387,13626,8
1530632205.040594059,12112,8
1530632205.053244125,13626,9
1530632205.066047220,13626,9
1530632205.078945663,13626,9
1530632205.091747664,13626,9
1530632205.104673271,12112,8
1530632205.117495722,12112,8
1530632205.130386965,12112,8
1530632205.143229462,12112,8
1530632205.156001192,12112,8
1530632205.168908323,12112,8
1530632205.181501841,13626,8
1530632205.194224651,15140,8
1530632205.206971341,13626,7
1530632205.219850525,15140,7
1530632205.232829794,13626,6
1530632205.245471169,13626,6
1530632205.258516942,13626,6
1530632205.271329384,12112,5
1530632205.284040876,13626,6
1530632205.296726404,13626,7
1530632205.309585843,15140,8
1530632205.322306736,13626,8
1530632205.335057714,12112,8
1530632205.347790244,12112,8
1530632205.360486034,12112,8
1530632205.373393629,12112,8
1530632205.386212382,12112,8
1530632205.398907365,12112,8
1530632205.411832411,13626,9
1530632205.424689888,13626,9
1530632205.437478184,13626,9
1530632205.450165364,13626,9
1530632205.462949379,13626,9
1530632205.475729760,13626,9
1530632205.488498057,15140,10
1530632205.501147547,15140,10
1530632205.513858025,15140,10
1530632205.526615103,15140,10
1530632205.539343334,15140,10
1530632205.552209494,16654,10
1530632205.565058508,13626,8
1530632205.578036458,15140,8
1530632205.590837334,15140,8
1530632205.603639337,15140,8
1530632205.616261082,15140,8
1530632205.628947761,13626,7
1530632205.641621744,15140,8
1530632205.654374664,15140,8
1530632205.667189811,15140,8
1530632205.680028135,12112,7
1530632205.692837958,13626,8
1530632205.705459833,12112,8
1530632205.718275940,12112,8
1530632205.731130104,13626,9
1530632205.743801432,13626,9
1530632205.756410827,13626,9
