ts, Backlog in Bytes, Backlog in packets
1531192968.295321577,910,11
1531192968.400555886,764,10
1531192968.505734571,788,10
1531192968.610910353,662,9
1531192968.716076611,926,11
1531192968.821261905,662,9
1531192968.926447404,694,9
1531192969.031658898,734,9
1531192969.136864054,668,8
1531192969.242017153,792,10
1531192969.347171008,750,9
1531192969.452365200,718,9
1531192969.557516920,800,10
1531192969.662690530,616,8
1531192969.767893931,816,10
1531192969.873121738,828,10
1531192969.978275089,996,12
1531192970.083486624,132,2
1531192970.188673271,66,1
1531192970.293827881,508,6
1531192970.398986655,992,12
1531192970.504161794,932,12
1531192970.609347383,718,9
1531192970.714558493,688,8
1531192970.819750537,1322,15
1531192970.924977926,730,9
1531192971.030105631,694,9
1531192971.135267382,730,9
1531192971.240468034,980,12
1531192971.345619593,816,10
1531192971.450777966,550,7
1531192971.555947201,682,9
1531192971.661126016,866,11
1531192971.766351514,878,11
1531192971.871553152,640,8
1531192971.976772235,702,9
1531192972.081901918,766,9
1531192972.187057350,644,8
1531192972.292232079,874,11
1531192972.397416277,922,11
1531192972.502589469,1K,12
1531192972.607776076,718,9
1531192972.712994965,882,11
1531192972.818163124,1088,14
1531192972.923360805,820,10
1531192973.028530763,910,11
1531192973.133700182,796,10
1531192973.238850673,906,11
1531192973.344060509,784,10
1531192973.449263687,618,7
1531192973.554434195,674,9
1531192973.659652884,656,8
1531192973.764881232,886,11
1531192973.870047921,616,8
1531192973.975242484,682,9
1531192974.080418106,668,8
1531192974.185620374,878,11
1531192974.290780090,746,9
1531192974.395945182,530,7
1531192974.501164298,636,8
1531192974.606344009,750,9
1531192974.711522537,608,8
1531192974.816716178,710,9
1531192974.921855896,914,11
1531192975.027013239,742,10
1531192975.132265007,832,10
1531192975.237459948,666,9
1531192975.342661936,940,12
1531192975.447831840,792,10
1531192975.553044621,570,7
1531192975.658224939,808,10
1531192975.763440019,742,9
1531192975.868672224,784,10
1531192975.973871665,816,10
1531192976.079032848,612,8
1531192976.184208101,848,10
1531192976.289380892,836,10
1531192976.394576515,640,8
1531192976.499782746,960,12
1531192976.605006096,644,8
1531192976.710170751,808,10
1531192976.815334285,752,10
1531192976.920516673,612,8
1531192977.025719984,800,10
1531192977.130915834,962,11
1531192977.236122116,1058,13
1531192977.341319165,698,9
1531192977.446489029,730,9
1531192977.551688517,636,8
1531192977.656939133,636,8
1531192977.762089449,714,9
1531192977.867262356,800,10
1531192977.972476116,722,9
1531192978.077635221,586,7
1531192978.182788130,518,7
1531192978.288052118,714,9
1531192978.393291433,706,9
1531192978.498485044,968,12
1531192978.603725799,662,9
1531192978.708961224,604,8
1531192978.814086671,894,11
1531192978.919309910,698,9
1531192979.024542943,664,8
1531192979.129757398,862,11
1531192979.234935745,680,8
1531192979.340129487,644,8
1531192979.445358777,854,11
1531192979.550552546,706,9
1531192979.655729025,706,9
1531192979.760974445,834,11
1531192979.866098758,774,9
1531192979.971284317,784,10
